@id,공포번호,공포일자,법령ID,법령구분명,법령명한글,법령상세링크,법령약칭명,법령일련번호,소관부처명,소관부처코드,시행일자,자법타법여부,제개정구분명,현행연혁코드
1,13954,20160203,010719,법률,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=180715&type=HTML&mobileYn=&efYd=20160630,10ㆍ27법난법,180715,문화체육관광부,1371000,20160630,,일부개정,현행
2,27211,20160608,010831,대통령령,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=183817&type=HTML&mobileYn=&efYd=20160630,10ㆍ27법난법시행령,183817,문화체육관광부,1371000,20160630,,일부개정,현행
3,15298,20171226,011349,법률,119구조ㆍ구급에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=200188&type=HTML&mobileYn=&efYd=20180627,119법,200188,소방청,1661000,20180627,,일부개정,현행
4,28216,20170726,011452,대통령령,119구조ㆍ구급에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=195947&type=HTML&mobileYn=&efYd=20170726,119법시행령,195947,소방청,1661000,20170726,,타법개정,현행
5,00002,20170726,011457,행정안전부령,119구조ㆍ구급에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=196225&type=HTML&mobileYn=&efYd=20170726,119법시행규칙,196225,소방청,1661000,20170726,,타법개정,현행
6,04401,19691204,004546,대통령령,1945년이후종전의규정에의한학교졸업자자격인정령,/DRF/lawService.do?OC=tooget&target=law&MST=24144&type=HTML&mobileYn=&efYd=19691204,,24144,교육부,1342000,19691204,,전부개정,현행
7,10820,20110714,009678,법률,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,/DRF/lawService.do?OC=tooget&target=law&MST=114766&type=HTML&mobileYn=&efYd=20120101,1959이전군퇴직금법,114766,국방부,1290000,20120101,,일부개정,현행
8,27083,20160405,009990,대통령령,1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=182269&type=HTML&mobileYn=&efYd=20160405,1959이전군퇴직금법시행령,182269,국방부,1290000,20160405,,타법개정,현행
9,04101,19890329,001348,법률,1980년해직공무원의보상등에관한특별조치법,/DRF/lawService.do?OC=tooget&target=law&MST=3274&type=HTML&mobileYn=&efYd=19890329,1980해직자보상법,3274,인사혁신처,1760000,19890329,,제정,현행
10,29181,20180918,004549,대통령령,1980년해직공무원의보상등에관한특별조치법시행령,/DRF/lawService.do?OC=tooget&target=law&MST=204611&type=HTML&mobileYn=&efYd=20180921,1980해직자보상법시행령,204611,인사혁신처,1760000,20180921,,타법개정,현행
11,14839,20170726,011370,법률,1인 창조기업 육성에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=195172&type=HTML&mobileYn=&efYd=20170726,1인창조기업법,195172,중소벤처기업부,1421000,20170726,,타법개정,현행
12,28213,20170726,011474,대통령령,1인 창조기업 육성에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=195898&type=HTML&mobileYn=&efYd=20170726,1인창조기업법시행령,195898,중소벤처기업부,1421000,20170726,,타법개정,현행
13,14912,20171024,011532,법률,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,/DRF/lawService.do?OC=tooget&target=law&MST=198231&type=HTML&mobileYn=&efYd=20181025,평창올림픽법,198231,문화체육관광부,1371000,20181025,,타법개정,현행
14,29249,20181023,011679,대통령령,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=204922&type=HTML&mobileYn=&efYd=20181025,평창올림픽법시행령,204922,문화체육관광부,1371000,20181025,,타법개정,현행
